symbol,market
"NAW","UPCOM"
"NBB","HOSE"
"NBC","HNX"
"NBE","UPCOM"
"NBP","HNX"
"NBT","UPCOM"
"NBW","HNX"
"NCS","UPCOM"
"NCT","HOSE"
"ND2","UPCOM"
"NDC","UPCOM"
"NDF","UPCOM"
"NDN","HNX"
"NDP","UPCOM"
"NDT","UPCOM"
"NDW","UPCOM"
"NDX","HNX"
"NED","UPCOM"
"NET","HNX"
"NFC","HNX"
"NGC","UPCOM"
"NHA","HOSE"
"NHC","HNX"
"NHH","HOSE"
"NHP","UPCOM"
"NHT","HOSE"
"NHV","UPCOM"
"NJC","UPCOM"
"NKG","HOSE"
"NLG","HOSE"
"NLS","UPCOM"
"NNC","HOSE"
"NNG","UPCOM"
"NNT","UPCOM"
"NO1","HOSE"
"NOS","UPCOM"
"NQB","UPCOM"
"NQN","UPCOM"
"NQT","UPCOM"
"NRC","HNX"
"NS2","UPCOM"
"NSC","HOSE"
"NSG","UPCOM"
"NSH","HNX"
"NSL","UPCOM"
"NSS","UPCOM"
"NST","HNX"
"NT2","HOSE"
"NTB","UPCOM"
"NTC","UPCOM"
"NTF","UPCOM"
"NTH","HNX"
"NTL","HOSE"
"NTP","HNX"
"NTT","UPCOM"
"NTW","UPCOM"
"NUE","UPCOM"
"NVB","HNX"
"NVL","HOSE"
"NVP","UPCOM"
"NVT","HOSE"
"NWT","UPCOM"
"NXT","UPCOM"
"OCB","HOSE"
"OCH","HNX"
"ODE","UPCOM"
"OGC","HOSE"
"OIL","UPCOM"
"ONE","HNX"
"ONW","UPCOM"
"OPC","HOSE"
"ORS","HOSE"
"PAC","HOSE"
"PAI","UPCOM"
"PAN","HOSE"
"PAP","UPCOM"
"PAS","UPCOM"
"PAT","UPCOM"
"PBC","UPCOM"
"PBP","HNX"
"PBT","UPCOM"
"PC1","HOSE"
"PCC","UPCOM"
"PCE","HNX"
"PCF","UPCOM"
"PCG","HNX"
"PCH","HNX"
"PCM","UPCOM"
"PCN","UPCOM"
"PCT","HNX"
"PDB","HNX"
"PDC","UPCOM"
"PDN","HOSE"
"PDR","HOSE"
"PDV","UPCOM"
"PEC","UPCOM"
"PEG","UPCOM"
"PEN","HNX"
"PEQ","UPCOM"
"PET","HOSE"
"PFL","UPCOM"
"PGB","UPCOM"
"PGC","HOSE"
"PGD","HOSE"
"PGI","HOSE"
"PGN","HNX"
"PGS","HNX"
"PGT","HNX"
"PGV","HOSE"
"PHC","HOSE"
"PHH","UPCOM"
"PHN","HNX"
"PHP","UPCOM"
"PHR","HOSE"
"PHS","UPCOM"
"PIA","HNX"
"PIC","HNX"
"PID","UPCOM"
"PIS","UPCOM"
"PIT","HOSE"
"PIV","UPCOM"
"PJC","HNX"
"PJS","UPCOM"
"PJT","HOSE"
"PLA","UPCOM"
"PLC","HNX"
"PLE","UPCOM"
"PLO","UPCOM"
"PLP","HOSE"
"PLX","HOSE"
"PMB","HNX"
"PMC","HNX"
"PMG","HOSE"
"PMJ","UPCOM"
"PMP","HNX"
"PMS","HNX"
"PMT","UPCOM"
"PMW","UPCOM"
"PNC","HOSE"
"PND","UPCOM"
"PNG","UPCOM"
"PNJ","HOSE"
"PNP","UPCOM"
"PNT","UPCOM"
"POB","UPCOM"
"POM","HOSE"
"POS","UPCOM"
"POT","HNX"
"POV","UPCOM"
"POW","HOSE"
"PPC","HOSE"
"PPE","HNX"
"PPH","UPCOM"
"PPI","UPCOM"
"PPP","HNX"
"PPS","HNX"
"PPT","UPCOM"
"PPY","HNX"
"PQN","UPCOM"
"PRC","HNX"
"PRE","HNX"
"PRO","UPCOM"
"PRT","UPCOM"
"PSB","UPCOM"
"PSC","HNX"
"PSD","HNX"
"PSE","HNX"
"PSG","UPCOM"
"PSH","HOSE"
"PSI","HNX"
"PSL","UPCOM"
"PSN","UPCOM"
"PSP","UPCOM"
"PSW","HNX"
"PTB","HOSE"
"PTC","HOSE"
"PTD","HNX"
"PTE","UPCOM"
"PTG","UPCOM"
"PTH","UPCOM"
"PTI","HNX"
"PTL","HOSE"
"PTN","UPCOM"
"PTO","UPCOM"
"PTP","UPCOM"
"PTS","HNX"
"PTT","UPCOM"
"PTV","UPCOM"
"PTX","UPCOM"
"PV2","HNX"
"PVA","UPCOM"
"PVB","HNX"
"PVC","HNX"
"PVD","HOSE"
"PVE","UPCOM"
"PVG","HNX"
"PVH","UPCOM"
"PVI","HNX"
"PVL","HNX"
"PVM","UPCOM"
"PVO","UPCOM"
"PVP","HOSE"
"PVR","UPCOM"
"PVS","HNX"
"PVT","HOSE"
"PVV","UPCOM"
"PVX","UPCOM"
"PVY","UPCOM"
"PWA","UPCOM"
"PWS","UPCOM"
"PX1","UPCOM"
"PXA","UPCOM"
"PXC","UPCOM"
"PXI","UPCOM"
"PXL","UPCOM"
"PXM","UPCOM"
"PXS","UPCOM"
"PXT","UPCOM"
"QBS","HOSE"
"QCC","UPCOM"
"QCG","HOSE"
"QHD","HNX"
"QHW","UPCOM"
"QNC","UPCOM"
"QNS","UPCOM"
"QNT","UPCOM"
"QNU","UPCOM"
"QNW","UPCOM"
"QPH","UPCOM"
"QSP","UPCOM"
"QST","HNX"
"QTC","HNX"
"QTP","UPCOM"
"RAL","HOSE"
"RAT","UPCOM"
"RBC","UPCOM"
"RCC","UPCOM"
"RCD","UPCOM"
"RCL","HNX"
"RDP","HOSE"
