symbol,name,industry,supersector,sector,subsector,listingDate,issueShare,listedValue,marketCap
"BCC","Bim Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","24/11/2006 00:00:00","123209812.0","1429233819200.00","1429233819200.0"
"BCE","Binh Duong Construction And Civil Engineering Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","28/06/2010 00:00:00","35000000.0","215250000000.00","215250000000.0"
"BCF","Bich Chi Food Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","16/03/2020 00:00:00","27830412.0","1040857408800.00","1040857408800.0"
"BCG","Bamboo Capital Group Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","16/07/2015 00:00:00","533467622.0","3584902419840.00","3584902419840.0"
"BCM","Investment and Industrial Development Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","21/02/2018 00:00:00","1035000000.0","87871500000000.00","87871500000000.0"
"BCP","Enlie Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","14/09/2015 00:00:00","6000000.0","0","57600000000.0"
"BCV","Vimico - Cao Bang Bang Giang Travel And Trading Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","16/03/2021 00:00:00","1800000.0","0","38700000000.0"
"BDB","Binh Dinh Book and Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","29/01/2010 00:00:00","1126474.0","0","15207399000.0"
"BDG","Protrade Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","06/04/2016 00:00:00","24799920.0","771277512000.00","771277512000.0"
"BDT","DongThap Building Materials & Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","06/09/2017 00:00:00","38600000.0","1134840000000.00","1129417190200.0"
"BDW","Binh Dinh Water Supply and Sewerage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","14/10/2015 00:00:00","12410800.0","322680800000.00","322680800000.0"
"BED","Da Nang Books & Educational Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","21/10/2009 00:00:00","3000000.0","0","119700000000.0"
"BEL","Viettronics Bien Hoa Joint Stock Company","Consumer Goods","Personal & Household Goods","Leisure Goods","Consumer Electronics","12/07/2016 00:00:00","6000000.0","0","70200000000.0"
"BFC","Binh Dien Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","07/10/2015 00:00:00","57167993.0","991864678550.00","991864678550.0"
"BGW","Bac Giang Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","31/10/2017 00:00:00","18149446.0","0","308540582000.0"
"BHA","Bac Ha Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","02/08/2017 00:00:00","66000000.0","0","976800000000.0"
"BHC","Bien Hoa Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","15/05/2009 00:00:00","4500000.0","0","10800000000.0"
"BHG","Bien Ho Tea Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","30/10/2018 00:00:00","8935643.0","0","120631180500.0"
"BHK","Ha Noi - Kim Bai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","05/04/2018 00:00:00","3986000.0","0","48629200000.0"
"BHN","Hanoi Beer Alcohol and Beverage Joint Stock Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","28/10/2016 00:00:00","231800000.0","10546900000000.00","10546900000000.0"
"BHP","Ha Noi - Hai Phong Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","21/01/2013 00:00:00","9179290.0","68844675000.00","68918109320.0"
"BHT","Bach Dang TMC Construction Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","11/01/2011 00:00:00","4565000.0","0","77740000000.0"
"BIC","BIDV Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","06/09/2011 00:00:00","117276895.0","3119565407000.00","3119565407000.0"
"BID","Joint Stock Commercial Bank for Investment and Development of Vietnam","Banks","Banks","Banks","Banks","24/01/2014 00:00:00","5058523816.0","231680390772800.00","231680390772800.0"
"BIG","BIG Invest Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","10/01/2022 00:00:00","5000000.0","36500000000.00","35895000000.0"
"BII","Bao Thu Industrial Development and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","22/09/2014 00:00:00","57680000.0","126896000000.00","126896000000.0"
"BIO","Nha Trang Vaccines and Biological Products Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","30/08/2018 00:00:00","8562000.0","0","173595450000.0"
"BKC","Bac Kan Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","18/08/2009 00:00:00","11737728.0","0","103292006400.0"
"BKG","BKG Vietnam Investment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","31/12/2020 00:00:00","68199983.0","258477935570.00","258477935570.0"
"BKH","Hanoi Confectionery Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","26/06/2019 00:00:00","1750000.0","0","50750000000.0"
"BLF","Bac Lieu Fisheries Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","02/06/2008 00:00:00","11500000.0","0","36799996800.0"
"BLI","Bao Long Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","11/12/2015 00:00:00","60000000.0","642000000000.00","622014546958.0"
"BLN","Lien Ninh Transport and Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","09/09/2016 00:00:00","5000000.0","0","40000000000.0"
"BLT","Binh Dinh Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","10/07/2017 00:00:00","4000000.0","0","139200000000.0"
"BLW","Bac Lieu Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","19/10/2018 00:00:00","11168800.0","0","224492880000.0"
"BMC","Binh Dinh Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","28/12/2006 00:00:00","12392630.0","167300505000.00","167300505000.0"
"BMD","Binh Thuan Environmental Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","14/06/2017 00:00:00","2753280.0","0","31662720000.0"
"BMF","Dong Nai Building Material and Fuel Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","16/04/2018 00:00:00","4159600.0","0","115636880000.0"
"BMG","Binh Minh Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","25/12/2018 00:00:00","5292000.0","0","116953200000.0"
"BMI","BaoMinh Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","21/04/2008 00:00:00","109623985.0","2943403997250.00","2943403997250.0"
"BMJ","Easterns AHP Minerals Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","22/12/2009 00:00:00","104999978.0","0","1627499659000.0"
"BMN","715 Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","06/04/2016 00:00:00","2750000.0","21450000000.00","21540750000.0"
"BMP","Binh Minh Plastics Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","11/07/2006 00:00:00","81860938.0","4977145030400.00","4977145030400.0"
"BMS","Bao Minh Securities Company Limited","Financials","Financial Services","Financial Services","Investment Services","08/08/2018 00:00:00","60989375.0","304946875000.00","305739736875.0"
"BMV","Vinafood 1 Flour Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","06/06/2017 00:00:00","24200000.0","0","704220000000.0"
"BNA","Bao Ngoc Investment Production Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","12/10/2020 00:00:00","24999855.0","272498419500.00","272498419500.0"
"BNW","Bac Ninh Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","28/12/2018 00:00:00","37549391.0","0","326679701700.0"
"BOT","Thai Ha Bridge BOT Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","14/02/2019 00:00:00","59246800.0","171815720000.00","169386601200.0"
"BPC","Vicem Packaging Bimson Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","05/04/2002 00:00:00","3800000.0","0","49400000000.0"
"BQB","Hanoi - Quang Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","09/01/2018 00:00:00","5800000.0","22620000000.00","20201400000.0"
"BRC","Ben Thanh Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","13/12/2011 00:00:00","12374997.0","125606219550.00","125606219550.0"
"BRR","BaRia Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","16/06/2017 00:00:00","112500000.0","2193750000000.00","2193750000000.0"
"BRS","Ba Ria Urban Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","24/01/2017 00:00:00","4541950.0","0","88568025000.0"
"BSA","Buon Don Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","20/08/2018 00:00:00","63019723.0","1102845152500.00","1146956055000.0"
"BSC","BenThanh Service Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","05/01/2011 00:00:00","3150747.0","0","40959711000.0"
"BSD","Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","28/04/2017 00:00:00","3000000.0","0","68100000000.0"
"BSG","Saigon Passenger Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","21/11/2016 00:00:00","60000000.0","684000000000.00","675300000000.0"
"BSH","Sai Gon - Ha Noi Beer Corporation","Consumer Goods","Food & Beverage","Beverages","Brewers","04/07/2018 00:00:00","18000000.0","0","360000000000.0"
"BSI","Bank for Investment and Development of Viet Nam Joint Stock Securities Company","Financials","Financial Services","Financial Services","Investment Services","19/07/2011 00:00:00","187800120.0","3324062124000.00","3315221682000.0"
"BSL","Sai Gon - Song Lam Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","16/06/2017 00:00:00","45000000.0","0","436500000000.0"
"BSP","Sai Gon - Phu Tho Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","10/08/2016 00:00:00","12500000.0","170000000000.00","170000000000.0"
"BSQ","Sai Gon - Quang Ngai Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","28/02/2017 00:00:00","45000000.0","1170000000000.00","1176525000000.0"
"BSR","Binh Son Refining and Petrochemical Joint Stock Company","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","01/03/2018 00:00:00","244119369.0","4003557651600.00","50702470220448.0"
"BST","Binh Thuan Book And Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","18/12/2008 00:00:00","1100000.0","15180000000.00","15180000000.0"
"BT1","Central Plant Protection Joint Stock Company No.1","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","09/11/2016 00:00:00","5250000.0","72975000000.00","72975000000.0"
"BT6","BETON 6 Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","18/03/2002 00:00:00","32993550.0","131974200000.00","112306505630.0"
"BTB","Ha Noi - Thai Binh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","12/01/2017 00:00:00","7691226.0","0","52300336800.0"
"BTD","Thuduc Centrifugal Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","02/03/2017 00:00:00","6414100.0","169332240000.00","169284482400.0"
"BTG","Tien Giang Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","24/03/2010 00:00:00","1190000.0","9758000000.00","9758000000.0"
"BTH","Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","04/01/2008 00:00:00","25000000.0","0","440000000000.0"
"BTN","Binh Dinh Tunnel Brick Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","05/01/2018 00:00:00","4465570.0","16522609000.00","16298796734.0"
"BTP","Ba Ria Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","25/11/2009 00:00:00","60485600.0","0","813531320000.0"
"BTS","VICEM But Son Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","05/12/2006 00:00:00","123559858.0","827851048600.00","827851048600.0"
"BTT","Ben Thanh Trading and Service Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","14/04/2010 00:00:00","13500000.0","472500000000.00","472500000000.0"
"BTU","Ben Tre Urban Project Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","11/03/2016 00:00:00","3600000.0","0","36000000000.0"
"BTV","Ben Thanh Tourist Service Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","03/03/2017 00:00:00","25000000.0","0","366862020000.0"
"BTW","Ben Thanh Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","04/03/2010 00:00:00","9360000.0","0","252720000000.0"
"BVB","Viet Capital Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","09/07/2020 00:00:00","367090000.0","3927863000000.00","3949521310000.0"
"BVG","Bac Viet Group Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","09/08/2010 00:00:00","9750948.0","20476990800.00","20233217100.0"
"BVH","Bao Viet Holdings","Financials","Insurance","Life Insurance","Life Insurance","25/06/2009 00:00:00","742322764.0","37413067305600.00","37413067305600.0"
"BVL","BV Land Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","11/06/2021 00:00:00","57312800.0","699216160000.00","729305380000.0"
